Molecule,P_app,P_app_error,Assay,pH,Efflux_effects,Efflux_ratio,P_app_ref,reference,P_app_comments,Other_Comments,Dosing_Concentration (uM)
Amantadine,0.0000071,0.0000002,MDCK-MDR1,7.4,P-gp inhibitor elacridar,0.8,10.1124/jpet.107.121525 ,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Amitriptyline,0.0000098,0.0000012,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1.9,10.1124/jpet.107.121525 ,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Amoxapine,0.0000148,0.0000011,MDCK-MDR1,7.4,P-gp inhibitor elacridar,4.1,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Atomoxetine,0.0000157,0.0000019,MDCK-MDR1,7.4,P-gp inhibitor elacridar,3.4,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Bupropion,0.0000475,0.0000022,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1.4,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Carbamazepine,0.0000309,0.0000017,MDCK-MDR1,7.4,P-gp inhibitor elacridar,0.8,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Chlorpromazine,0.0000074,0.0000011,MDCK-MDR1,7.4,P-gp inhibitor elacridar,0.8,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Citalopram,0.0000181,0.0000035,MDCK-MDR1,7.4,P-gp inhibitor elacridar,20.1,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Clozapine,0.0000283,0.0000022,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1.3,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Diazepam,0.0000464,0.0000018,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Donepezil,0.0000338,0.0000015,MDCK-MDR1,7.4,P-gp inhibitor elacridar,2.3,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Doxepin,0.0000163,0.0000013,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1.9,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Ergotamine,0.0000102,0.0000012,MDCK-MDR1,7.4,P-gp inhibitor elacridar,49.6,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Ethosuximide,0.0000097,0.0000003,MDCK-MDR1,7.4,P-gp inhibitor elacridar,0.8,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Fluoxetine,0.0000064,0.0000011,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1.2,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Fluphenazine,0.0000035,0.0000008,MDCK-MDR1,7.4,P-gp inhibitor elacridar,2.3,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Gabapentin,0.0000004,0.0000001,MDCK-MDR1,7.4,P-gp inhibitor elacridar,0.8,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Haloperidol,0.0000286,0.0000047,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1.3,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Isocarboxazid,0.0000177,0.0000074,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1.2,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Lamotrigine,0.0000199,0.0000017,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1.6,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Loxapine,0.0000182,0.0000016,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1.2,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Maprotiline,0.0000059,0.0000014,MDCK-MDR1,7.4,P-gp inhibitor elacridar,4,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Meprobamate,0.0000093,0.0000017,MDCK-MDR1,7.4,P-gp inhibitor elacridar,3.3,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Mesoridazine,0.0000149,0.0000043,MDCK-MDR1,7.4,P-gp inhibitor elacridar,87.1,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Metoclopramide,0.0000168,0.0000005,MDCK-MDR1,7.4,P-gp inhibitor elacridar,13.2,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Midazolam,0.0000368,0.0000064,MDCK-MDR1,7.4,P-gp inhibitor elacridar,2,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Mirtazapine,0.0000324,0.0000055,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1.3,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Olanzapine,0.0000157,0.0000022,MDCK-MDR1,7.4,P-gp inhibitor elacridar,4.9,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Pemoline,0.0000046,0.0000004,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1.2,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Pergolide,0.0000251,0.0000024,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1.8,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Perphenazine,0.0000018,0.0000005,MDCK-MDR1,7.4,P-gp inhibitor elacridar,4.7,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Phenelzine,0.0000547,0.0000033,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1.4,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Phenytoin,0.0000272,0.0000031,MDCK-MDR1,7.4,P-gp inhibitor elacridar,2.8,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Primidone,0.0000025,0.0000003,MDCK-MDR1,7.4,P-gp inhibitor elacridar,3.6,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Quetiapine,0.000033,0.0000014,MDCK-MDR1,7.4,P-gp inhibitor elacridar,1.5,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
Risperidone,0.00003,0.0000028,MDCK-MDR1,7.4,P-gp inhibitor elacridar,20.8,10.1124/jpet.107.121525,Summerfield et al. 2007,apical-to-basolateral passive membrane permeability across a cell monolayer the presence of the P-gp inhibitor elacridar,"MDR1-MDCK type II cells were seeded at a density of 60,000 cells/cm2 on rat type I collagen-coated polycarbonate membranes. Transwell plates :1.13-cm2 area; 0.4-um pores. Shaking conditions (150 rpm)",3
